Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic,Daily_Revenue
435,7.62,10,9,113.6,387,3252.78
389,5.84,6,10,139.93,677,2628.23
141,4.55,9,14,334.8,641,986.17
416,9.98,17,10,483.07,576,4737.16
493,5.7,17,11,458.75,737,3392.51
477,5.89,16,5,256.41,505,2859.93
313,3.73,13,2,399.6,318,1613.57
480,8.46,15,4,76.52,680,3793.18
84,7.7,12,10,488.94,860,1479.56
255,4.16,14,5,482.53,237,1759.04
130,3.12,10,6,90.23,618,405.39
469,7.6,15,8,156.72,760,3026.63
99,7.41,9,6,59.08,578,883.29
409,4.55,13,5,143.14,483,1503.07
437,9.63,14,3,409.82,337,4129.01
51,3.63,12,3,195.37,967,379.18
439,5.74,12,14,53.31,616,2105.02
103,9.58,10,14,177.69,548,1218.11
155,5.65,9,5,490.88,490,1465.26
309,7.29,15,11,318.54,830,2662.21
359,5.48,6,14,213.92,352,1769.92
240,4.56,15,11,91.6,136,989.98
451,9.88,15,14,493.23,879,4750.98
267,5.57,12,10,412.22,487,1965.35
93,9.21,6,9,147.92,590,1131.56
211,4.22,6,4,44.33,71,684.96
251,4.1,10,10,37.75,882,889.21
495,2.73,14,6,68.99,846,1421.17
319,7.39,11,12,294.58,609,2123.83
400,5.26,8,4,465.09,566,2668.22
353,8.98,8,6,253.4,811,3385.84
320,6.05,12,14,423.04,724,2110.23
264,9.76,11,11,228.48,552,2598.69
301,3.89,14,14,357.21,763,1888.15
239,9.01,11,5,368.62,516,2622.95
345,8.32,10,9,95.24,150,2815.61
262,8.28,15,14,187,632,2431.12
257,8.84,12,13,322.28,991,2889.02
286,8.21,6,6,44.64,724,2183.92
387,7.2,17,11,187.15,734,2707.05
416,3.48,12,13,272.05,190,1908.69
102,2.74,8,9,498.15,187,961.27
329,9.41,14,10,242.52,627,2964.48
459,7.12,11,5,409.87,759,3448.06
266,8.47,14,8,221.71,889,2422.75
301,6.11,10,3,400.23,277,2165.62
237,3.38,12,7,301.75,330,1098.58
429,3.44,9,9,444.43,733,1789.37
90,7.64,12,13,211.36,877,1222.95
206,5.73,6,8,306.11,480,1452.98
64,4,12,8,318.71,89,566.16
350,6.19,13,9,214.52,568,2150.61
114,2.98,10,8,80.71,735,587.32
394,6.86,7,6,55.84,712,2630.96
376,4.52,10,8,18.17,260,1456.45
58,8.48,11,14,438.03,351,1106.16
393,4.83,17,11,125.87,135,1952.52
178,5.91,7,4,113.64,446,976.43
185,2.59,11,6,370.66,302,679.1
112,3.04,11,8,166.81,582,659.65
188,5.44,6,10,257.96,818,1177.64
130,6.1,6,3,89.63,940,936.21
441,7,16,5,480.28,964,3562.93
212,4.69,15,13,427.27,430,1546.92
468,7.71,8,8,433.26,493,3812.12
338,8.95,15,2,209.32,82,2909.78
428,8.35,15,14,383.56,309,3564.08
310,2.8,17,3,80.5,283,779
280,6.1,8,10,14.22,564,1672.29
90,3.29,9,14,19.79,908,575.74
77,4.32,7,11,297.43,357,995.74
184,9.9,14,8,233.14,788,2018.23
250,3.57,15,13,263.83,845,1478.45
377,6.24,17,11,13.66,119,2076.36
317,7.14,16,8,217.12,503,2104.51
467,7.77,12,7,361.85,488,4192.68
82,6.7,12,4,226.92,874,941.4
97,2.57,11,11,368.79,413,470.62
456,4.95,8,4,124.18,815,2529.56
111,6.38,11,3,408.44,530,1101.34
265,3.16,17,12,298.33,193,1095.98
342,5.13,13,7,113.27,73,1953.2
148,2.75,13,5,125.99,474,827.63
221,3.09,16,6,317.73,795,891.05
409,5.48,14,4,416.67,894,2936.39
263,3.5,6,7,213.66,224,1323.79
84,6.76,6,12,136.57,893,555.96
498,7.67,8,13,434.84,374,4040.77
276,8.5,8,4,337.94,918,2921.54
150,4,15,9,229.56,720,572.23
480,3.76,13,10,249.07,909,2274.07
180,3.28,15,5,110.09,397,865.78
306,7.27,6,10,317.13,847,2579.68
54,7.8,7,13,185.78,67,684.09
267,2.74,7,8,497.87,93,1799.25
304,9.52,8,4,245.29,204,3396.19
447,2.89,11,8,248.08,916,1411.72
408,6.56,6,2,287.27,971,2962.18
332,7.82,7,4,459.21,426,3400.31
442,9.03,6,7,402.4,792,4038.73
256,7.86,10,5,231.05,932,2206.15
64,8.51,12,8,362.16,877,1234.19
395,5.05,13,4,297.26,451,1838.19
91,8.61,15,2,251.26,274,1247.76
429,3.1,6,10,104.23,266,1135.57
228,9.21,12,7,237.33,617,2284.35
112,6.61,10,9,130.45,80,1090.83
401,8.63,15,4,458.27,918,3324.14
280,5.89,6,9,174.35,108,1902.98
290,7.33,8,3,476.61,941,3035.71
101,6.45,12,13,271.2,947,886.44
145,7.99,15,5,319.46,402,1637.22
437,3.11,6,4,276.04,984,1904.28
271,2.95,12,11,73.4,494,511.02
456,4.35,10,2,194.15,284,2227.94
280,3.7,6,14,58.58,156,1225.02
286,9.04,6,14,315.25,240,2927.5
192,4.14,6,8,228.97,579,1076.17
220,9.82,16,12,391.21,962,2331.09
78,5.03,14,11,118.03,787,808.44
85,3.87,16,3,90.64,728,438.92
62,8.42,8,5,209.1,632,602.71
209,7.44,10,10,464.03,923,2031.9
376,6.24,16,7,358.11,615,2722.46
236,6.67,15,9,215.27,294,1427.38
292,7.89,17,3,263.46,911,2472.27
135,4.21,14,8,51.26,125,505.03
333,9.97,11,7,492.44,596,3993.87
115,9.81,17,14,336.54,316,1145.17
219,7.38,14,10,149.85,366,1867.12
94,4,13,8,297.05,861,1067.39
111,7.6,13,2,63.65,170,487.3
490,3.04,6,9,483.26,885,1722.09
183,2.73,14,12,95.64,74,950.27
333,4.43,11,11,327.53,481,1638.09
77,5.97,14,4,130.27,209,1228.09
157,9.01,8,3,361.61,645,1454.36
93,7.95,17,13,390.64,163,1285.38
389,8.07,8,4,339.98,784,3330.6
335,5.69,11,12,311.1,949,2140.55
495,5.09,14,7,447.31,551,3031.15
380,5.28,12,14,48.53,215,1982.68
177,9.91,8,4,172.15,752,1803.36
397,2.8,8,11,131.66,224,995.1
280,9,7,6,494.13,50,3218.75
239,6.84,14,7,200.8,948,1898.09
274,5.79,8,9,368.98,790,2004.2
434,7.94,16,8,345.52,135,3738.92
426,6.15,10,12,113.92,623,2682.58
332,9.05,14,9,127.11,369,2742.46
495,9.26,13,4,147.83,450,4459.21
170,5.66,7,5,211.45,431,1072.55
165,4.58,8,7,124.82,767,1027.77
282,6.94,7,12,19.63,666,1752.34
308,9.34,13,8,440.9,367,3372.74
408,4.08,11,10,483.15,852,2136.14
247,7.17,11,14,177.37,299,1992.69
460,7.24,17,2,175.87,574,3065.41
186,8,14,14,13.47,724,1366.64
367,3.49,13,9,343.32,604,1863.85
214,7.87,9,9,414.47,947,2230.91
274,9.32,17,7,81.84,672,2459.48
356,3.85,9,5,88.24,766,1726.61
283,4.28,14,4,397.14,945,1890.55
221,9.79,6,12,311.98,305,2586.31
201,3.86,7,4,31.98,356,877.85
364,8.91,7,7,315.05,999,3548.03
423,6.19,11,14,161.37,193,2930.01
209,4.35,9,9,190.68,707,1020.72
145,9.03,16,8,387.17,440,1961.05
282,5.84,15,12,407.36,862,2164.53
229,6.36,8,2,206.17,725,1543.43
162,5.19,8,12,474.1,218,1447.91
367,6.95,8,7,209.17,347,2653.17
491,3.73,11,8,388.2,282,2058.6
101,5.43,13,13,247.1,952,1037.04
317,9.77,16,8,449.79,320,3441.5
344,4.44,12,10,454.8,109,2073.81
435,7.43,9,12,52.83,345,3259.53
436,4.94,16,12,468.88,516,2667.73
162,8.3,17,11,414.51,284,2142.44
150,3.48,9,6,397.74,726,961.45
162,9.77,16,2,108.45,755,1367.73
489,5.9,15,3,404.51,283,3145.36
130,4.27,16,5,426.57,417,576.5
236,3.05,16,6,151.68,744,1056.49
162,3.77,16,10,476.61,894,1056.8
51,6.4,7,12,34.43,281,221.87
179,5.03,6,2,83.46,922,1078.78
269,8.72,14,4,273.41,540,2545.05
103,5.73,17,6,292.14,668,881.27
392,4.37,17,4,326.12,552,1623.61
273,7.13,7,5,18.31,939,2039.47
274,7.8,13,4,480.58,784,2788.97
434,3.75,14,5,31.85,641,1923.67
452,3.76,9,14,80.1,795,1530.44
175,2.78,13,14,16.87,430,172.26
179,8.02,14,2,287.76,745,1922.61
102,7.48,15,13,466.81,477,1349.27
221,6.06,15,9,336.31,746,1835.43
267,8.83,10,5,413.1,695,3065.48
209,8.54,12,8,16.51,781,1708.77
247,6.89,15,3,275.59,849,1978.49
465,9.01,9,3,235.19,413,4169.47
296,4.04,6,7,254.49,251,1130.54
373,3.34,8,3,45.38,931,1410.92
488,4.52,10,7,345.37,195,2737.66
252,2.93,8,12,256.58,885,1155.51
233,6.48,17,3,384.92,688,1633.16
172,9.52,16,5,247.79,506,1821.15
450,2.8,12,8,83.2,184,1546.51
304,3.42,17,9,327.65,675,1314.04
343,5.89,14,4,94.47,313,2196.8
329,9.5,17,14,437.47,113,3480.17
374,4.87,11,10,310.43,540,2247.39
421,6.3,15,3,87.03,696,2435.19
147,2.81,6,9,481.55,90,1110.96
247,3.61,12,9,264,345,1285.85
444,9.9,8,14,45.72,52,3807.97
289,9.74,10,5,317.15,962,3063.88
193,2.54,15,2,134.07,755,104.6
146,9.64,9,14,403.81,159,1752.11
250,7.29,15,2,410.73,270,2365.12
173,9.01,10,3,489.68,419,2361.43
236,5.91,10,13,255.92,417,1733.71
375,6.37,11,10,232.93,485,2221.21
398,6.17,15,14,379.2,967,2985.47
308,7.5,17,3,74.91,53,1963.54
197,3.55,15,3,277.99,293,1169.24
301,2.72,16,7,277.66,951,932.17
492,4.81,11,8,53.84,215,2055.99
469,7.79,13,14,214.81,75,3419.1
452,4.01,13,8,428.11,444,2301.22
395,7.55,16,14,429.52,523,3289.2
196,9.77,14,10,58.63,66,1913.15
197,3.2,13,7,54.45,777,645.31
401,7.54,16,9,138.72,141,2625.69
248,5.83,7,12,438.64,532,2014.38
357,9.01,17,7,73.16,592,2652.22
466,3.83,15,3,362.8,254,1973.73
473,7.69,17,2,59.57,551,3290.21
177,8.79,16,6,315.34,980,1786.62
88,9.58,6,10,184.47,449,705.96
387,7.62,15,9,396.57,256,3523.13
409,6.23,7,14,124.51,668,2809.63
178,7.13,7,5,323.21,195,2077.2
316,9.02,17,6,125.48,928,2983.04
490,6.78,8,14,359.69,150,3450.43
483,2.73,15,6,438.1,929,1761.35
200,9.48,12,7,72.13,879,1721.02
464,7.67,7,4,434.63,929,4252.06
347,7.57,6,6,300.85,290,2792.28
148,4.12,11,3,72.28,972,911.05
312,7.44,14,11,219.5,808,2656.69
301,5.45,8,2,88.82,212,1647.54
193,7.38,11,12,353.17,933,1521.33
395,3.3,8,2,381.85,222,1727.14
161,7.43,6,11,61.84,551,1198.76
109,10,17,8,258.01,596,1623.6
418,2.86,10,3,409.17,333,1693.58
51,9.83,15,5,468.72,408,912.56
434,5.55,16,6,261.62,430,2757.84
353,9.03,9,8,475.64,919,3536.78
303,8.37,12,3,272.49,954,2182.18
189,6.75,11,7,203.15,960,1517.9
86,8.04,15,2,425.62,582,1360.88
209,9.09,12,8,251.56,869,1918.58
58,5.53,10,10,241.23,212,612.1
282,4.95,9,6,250.25,658,1763.23
148,7.51,12,6,424.92,356,1704.07
196,8.56,12,5,417.65,388,1823.93
353,8.22,11,4,207.72,104,3173.78
257,8.48,13,10,173.32,382,2562.67
180,5.77,9,6,251.04,176,1209.26
453,8.63,15,9,290.66,989,3572.47
201,3.4,10,10,126.79,754,959.47
103,6.58,9,6,399.04,292,1073.91
169,2.54,17,11,248.38,910,865.99
210,4.93,6,10,173.68,649,1632.72
457,5.25,17,3,62.34,897,1943.57
165,5.47,13,10,127.03,458,843.52
124,7.72,6,12,475.15,552,1535.38
162,5.41,10,5,159.5,776,1286.36
469,5.87,11,7,92.74,653,3327.96
471,4.28,11,7,235.73,352,2217.3
153,5.3,10,7,160.47,513,644.07
389,4.2,8,3,27.23,284,1442.16
303,3.05,10,8,168.34,745,929.27
276,7.03,17,14,276.61,87,2305.48
161,7.51,13,7,280.34,188,1584.09
148,7.15,7,12,184.71,244,1021.08
202,5.98,11,2,229.18,576,1264.24
398,5.35,14,3,483.1,818,2569.01
451,8.98,13,8,194.9,696,3889.46
433,6.39,16,2,136.53,50,2686.54
415,6.09,13,2,129.3,610,2478.34
387,2.69,13,2,234.3,145,1535.35
243,5.06,12,9,382.16,762,1600.62
359,5.35,13,5,110.93,462,1786.27
212,5.49,11,5,357.56,587,1316.08
257,6.85,7,14,20.36,904,1570.17
494,6.5,7,3,215.28,478,3264.06
218,7.06,13,12,390.17,284,1625.61
210,8.24,16,12,175.98,398,1752.84
117,8.6,6,12,286.23,805,1566.98
338,7.89,11,2,110.44,919,2695.46
447,9.67,11,13,373.58,530,4525.3
326,2.64,16,11,35.62,888,952.25
353,3.97,9,10,427.75,445,1788.15
453,2.56,17,8,107.12,400,1063.01
433,7.36,16,5,438.46,465,3780.26
441,9.24,16,13,182.74,935,4107.19
184,4.33,15,7,364.11,965,1113.96
244,9.45,8,3,166.42,936,1949.11
450,2.95,16,8,453.9,100,1730.5
177,9.51,8,3,72.05,130,1731.72
82,5.14,6,11,97.47,85,393.88
225,3.26,8,9,251.58,116,1103.53
492,6.14,9,9,50.15,690,3077.97
420,4.43,16,2,106.03,931,1814.98
424,4.64,16,14,472.45,716,2526.09
71,4.8,10,9,488.48,806,1176.42
287,8.52,8,3,194.37,672,2275.85
207,6.54,11,7,462.41,729,1757.41
87,4.83,16,14,276.96,530,938.86
279,7.08,17,2,142.17,517,1998.44
414,7.87,10,6,354.18,191,3487.98
100,4.54,8,12,332.86,405,914.55
487,5.6,11,8,494.67,758,3392.14
313,3.41,11,14,139.87,520,1257.54
332,3.86,13,11,339.31,670,1752.1
76,7.61,7,2,35.49,937,818.2
275,3.86,6,3,65.69,640,1375.2
326,6.44,9,8,11.92,951,2356.09
335,7.82,12,7,499.74,722,2991.54
146,3.3,16,4,403.11,488,1532.17
333,6.75,15,11,395.49,580,2396.86
416,4.42,8,3,259.77,176,2431.55
497,9.72,8,11,157.03,254,4456.51
366,6.13,10,5,84.12,78,2131.61
353,8.54,10,4,149.49,494,2941.11
196,6.63,15,8,194.23,768,1287.48
53,2.83,8,9,380.59,513,723.22
84,7.25,14,3,274.43,329,796.68
241,9.64,9,11,47.97,200,1915.88
98,7.01,8,8,18.83,289,638.78
66,8.64,16,9,60.14,315,921.4
221,9.13,7,7,211.14,743,2081.86
269,4.21,15,7,467.26,154,1908.34
207,4.09,16,11,322.33,986,1076.33
95,7.08,14,2,402.89,482,952.98
422,5.58,9,5,238.52,962,2567.84
55,8.8,8,2,187.22,546,1067.55
148,9.25,12,5,63.12,489,1368.57
429,5.15,13,3,439.21,797,2812.56
282,4.28,16,12,393.75,734,1975.91
86,8.35,7,14,92.38,207,777.55
329,4.56,12,6,261.01,221,1711.32
398,8.67,17,11,248.81,543,3573.23
351,5.68,10,10,316.29,360,2398.75
230,7.51,16,12,473.63,452,1985.22
144,3.22,10,13,294.09,718,917.59
148,7.18,8,11,274.71,819,1368.3
237,5.89,10,4,34.66,725,1150.42
165,6.9,17,9,40.82,708,1071.92
240,3.76,7,4,101.8,952,731.8
302,8.03,9,7,25.91,715,1919.23
465,8.97,11,5,374.24,512,4328.67
210,4.13,6,9,364.43,416,1507.63
305,3.22,15,12,76.67,599,929.44
372,2.68,9,7,419.68,692,1334.64
177,7.31,11,9,85.85,919,1132.2
67,7.05,14,2,157.58,304,771.27
330,6.6,16,7,132,257,2491.68
272,4.24,16,2,192.43,499,1480.69
103,5.43,7,2,134.79,144,965.7
107,6.96,16,9,249.59,909,835.11
372,6.23,12,8,209.63,888,2385.46
409,9.91,11,4,493.42,527,4591.74
223,3.52,7,7,37.4,732,482.73
329,7.71,13,10,79.67,811,2270.76
163,5.53,12,8,35.88,239,1053.47
337,5.71,16,13,316.66,760,2258.52
480,7.88,10,4,36.71,533,3266.2
391,7.69,17,14,419.86,782,3009.74
200,9.93,10,7,260.85,585,2446.14
499,3.46,12,12,268.23,805,1545.55
176,3.28,14,5,285.18,472,1073.8
204,7.93,16,14,93.7,885,1489.89
435,6.84,14,4,106.87,689,3047.58
322,4.56,14,10,166.22,654,1362.39
153,3.1,11,11,300.81,861,1401.04
466,3.14,15,3,112.96,182,1566.82
442,9.21,11,2,67,104,3877.65
348,3.94,8,3,485.36,559,1807.44
295,4.93,6,8,20.77,719,1313.39
225,4.2,12,11,403.32,590,1433.99
88,5.16,9,2,396.14,459,1362.1
219,3.02,6,7,155.63,260,908.8
296,6.39,13,8,76.46,715,1925.75
75,3.01,17,10,81.36,342,431.74
404,8.5,11,9,351.74,783,3743.93
355,4.25,11,7,324.98,164,1567.45
458,6.55,7,4,393.55,998,3700.09
457,9.1,6,9,469.37,719,4271.39
62,7.38,7,8,349.04,308,927.68
365,6.5,9,4,86.37,812,2571.1
440,4.93,7,10,129.29,171,2533.14
362,5,6,13,422.67,348,2424.2
85,7.52,12,3,112.56,824,643.18
222,9.96,16,4,45.54,430,2083.86
69,7.46,16,3,354.61,610,1028.57
370,6.68,17,14,207.24,938,2575.78
313,7.98,13,2,460.82,890,2693.19
449,5.99,11,5,328.62,550,3165.51
191,2.95,9,6,54.31,346,615.49
420,6.72,11,14,474.45,411,3107.39
192,9.68,8,7,136.69,638,1778.06
141,3.81,17,6,175.23,512,800.3
403,7.68,13,2,207.11,487,2815.62
371,4.01,15,4,35.1,176,1567.28
337,6.52,7,2,253.29,246,2404.4
264,3.23,10,12,70.43,270,1186.23
496,5.88,6,6,206.48,140,2950.07
391,8.17,11,6,181.85,460,2930.74
100,5.11,7,13,388.69,57,803.37
202,7.49,9,12,403.55,593,1888.87
235,8.47,11,14,85.17,517,1862.18
112,9.45,15,7,189.61,369,1123.52
239,4.26,16,9,192.94,443,1231.43
174,5.49,13,11,84.19,318,867.49
199,3.64,17,13,401.24,240,1304.63
363,9.94,13,2,356.54,910,3678.08
107,9.45,16,5,103.29,724,1191.31
391,6.55,11,11,189.69,110,2527.46
354,8.82,9,12,61.84,487,3152.05
229,6.41,13,2,317.82,313,1928.29
219,7.18,13,10,69.47,846,1558.1
375,3.17,15,12,493.11,144,1768
320,8.16,6,8,392.53,602,2635.07
103,3.46,9,8,201.22,975,905.28
493,8.7,9,13,293.5,519,4164.28
150,8.37,12,6,456.56,710,1832.94
313,7.82,16,8,281.51,765,2693.92
102,2.77,12,13,95.5,828,360.83
109,4.77,16,3,195.56,563,1032.2
157,4.47,13,14,423.14,739,1022.05
54,5.2,16,5,325.66,986,1088
152,3.16,10,8,328.85,243,1059.87
245,9.53,12,4,434.74,531,2704.19
311,6.65,13,3,448.05,948,2486.36
414,4.79,14,11,460.7,385,2032.44
421,5.48,8,3,56.48,484,1991.45
399,5.85,8,14,276.62,245,2444.88
96,7,9,2,372.85,904,1199.3
404,6.37,10,6,380.89,298,3139.38
360,9.4,15,13,307.29,547,3914.04
473,6.23,6,7,91.73,261,2844.16
357,9.94,12,7,400.74,714,3835.95
193,8.89,14,10,362.85,719,1990.4
318,4.06,13,5,52.21,515,897.27
419,9.48,10,2,237.27,923,3809.66
173,3.37,9,7,95.25,700,626.48
155,8.63,17,6,175.36,270,1662
207,5.35,12,11,18.86,322,1128.9
196,9.08,10,7,206.16,203,1955.26
194,9.01,12,4,279.44,298,1876.15
169,8.54,17,3,313.6,328,1372.91
368,8.43,6,7,335.11,489,2910.33
324,4.79,6,14,419.78,997,1693.69
141,3.11,15,2,115.58,865,509.63
107,5.52,8,8,69.04,325,833.94
488,3.8,16,8,427.25,563,2503.25
395,7.71,7,11,86.74,137,3029.76
278,5.1,7,14,487.63,848,1904.45
166,9.82,12,8,422.84,972,2330.22
367,7.31,17,13,255.43,691,2611.42
328,8.67,15,12,490.9,554,3466.41
176,3.49,7,11,57.71,639,304.47
442,8.97,16,2,158.5,821,3570.59
445,9.42,9,5,322.73,290,4587.33
178,6.15,7,14,181.5,702,1216.71
107,7.05,11,8,464.9,789,1240.07
171,8.24,13,12,42.16,724,1551.93
50,3.81,15,10,279.21,285,833.74
288,6.27,9,6,299.52,177,1987.81
339,5.49,10,14,329.84,552,2225.45
145,3.6,9,3,135.28,249,700.1
175,5.26,8,8,188.64,951,545.99
167,3.01,10,11,423.4,592,808.33
97,2.69,14,2,105.52,551,581.57
138,3.51,13,8,415.17,699,892.18
286,9.72,13,7,285.7,541,3036.45
422,6.62,13,8,383.47,70,3142.09
434,9.74,17,14,359.67,283,4587.04
321,5.74,13,11,111.68,763,1553.05
238,4.84,12,4,288.72,840,1548.65
241,6.3,13,4,435.18,692,2006.16
496,5.8,16,8,221.74,465,2763.78
118,3.29,13,14,483.63,197,915.48
327,7.31,13,3,231.59,78,2544.21
398,4.12,17,2,79.96,410,1721.66
296,7.15,15,10,200.82,357,2218.71
125,7.38,12,10,476.33,932,1563.69
203,3.64,17,8,166.66,991,815.32
193,2.96,6,8,435.37,211,1080.77
484,8.36,9,4,441.81,918,4145.84
135,5.95,9,11,181.59,901,891.59
234,2.94,10,3,50.8,110,814.3
334,9.96,15,12,365.03,174,3682.8
269,2.93,11,8,162.64,505,698.14
118,7.71,9,10,393.63,120,1229.96
96,9.88,7,2,226.9,887,1051.9
143,4.29,11,14,247.78,956,910.99
287,3.57,13,5,391.18,925,1172.27
495,3.41,13,7,197.36,515,1639.41
253,4.77,12,8,227.13,292,1149.71
449,3.26,11,11,194.33,539,1688.96
267,7.69,7,8,190,810,2126.97
481,2.97,12,11,267.71,270,1594.77
390,6.32,16,3,406.31,522,2615.13
88,9.98,17,5,187.27,582,981.9
149,8.6,10,6,266.88,543,1440.64
338,7.11,11,13,338.66,948,2997.79
303,4.8,15,2,142.03,131,1721.41
271,7.18,13,2,145.99,905,1832.05
406,6.45,13,11,467.37,928,3090.92
72,5.7,8,4,364.53,571,1105
299,3.48,17,11,292.82,972,1237.5
59,9.15,17,4,327.38,61,693.51
295,5.87,12,13,24.36,312,1235.65
374,3.96,6,9,312.87,706,2056.69
149,5.26,6,10,259.66,498,1056.64
339,5.61,12,12,277.42,241,2186.01
229,8.71,15,13,186.12,811,1959.46
272,8,14,2,49.92,163,1779.7
443,8.27,12,12,104.74,75,3238.1
299,2.58,15,3,475.86,832,1139.86
196,5.62,10,11,210.26,548,1476.76
491,6.11,13,3,238.67,557,3356.53
145,2.64,7,5,35.83,594,405.71
306,4.45,14,3,28.41,111,964.59
374,8.2,11,8,361.42,278,3401.57
53,3.53,14,14,273.67,864,831.88
65,6.51,7,10,259.27,656,964.07
329,4.11,8,8,129.13,84,1404.84
385,2.59,17,13,374.93,754,1412.93
296,4.31,13,7,92.44,505,1279.41
307,9.82,6,11,103.07,637,3112.92
433,8.51,15,2,235.75,940,3822.05
209,9.7,12,12,150.28,551,1972.84
389,6.16,12,11,131.26,810,2271.32
201,3.32,6,10,326.17,644,993.5
445,6.61,14,6,328.98,74,2927.85
227,5.91,13,12,414.01,618,2098.8
212,8.83,9,6,214.68,81,1849.22
429,3.24,15,7,45.81,880,1417.73
82,6.16,16,10,144.1,61,538.47
466,3.63,10,14,490.2,368,2162.28
494,4.94,7,9,302.17,894,2626.8
228,8.03,14,9,357.77,653,2293.46
476,6.07,17,9,13.61,50,2568.96
150,5.32,17,2,263.92,484,886.24
317,5.46,11,2,28.39,887,1604.14
372,5.95,8,9,288.92,185,2272.11
114,8.39,17,6,461.18,245,1861.35
466,9.19,12,10,484.53,182,4529.09
217,9.67,14,3,274.87,135,2167.26
379,8.4,8,10,234.52,525,3611.98
92,4.87,7,13,473.06,856,1260.6
93,7.66,12,9,340.07,840,971.89
334,5.78,12,10,41.8,373,1641.99
446,4.41,9,5,238.21,229,2222.33
61,8.81,16,2,127.72,565,683.94
144,2.79,14,2,240.2,687,899.92
351,9.26,13,6,233.18,224,3142.47
435,5.96,6,3,295.25,812,2916.44
302,7.28,6,9,184.82,70,1808.28
291,7.45,10,11,90.49,154,2056
84,9.21,11,12,256.82,627,958.07
264,7.28,8,6,416.8,492,2263.92
386,7.1,14,6,335.37,824,2949.02
139,3,17,3,175.8,98,866.7
313,6.39,15,8,468.41,577,2271.87
142,3.63,11,14,456.98,194,711.78
459,8.03,9,9,112.58,389,3278.45
139,6.34,17,11,29.31,811,1041.59
467,7.6,12,14,373.24,904,3425.14
164,2.81,13,2,415.53,403,923.66
154,3.14,14,3,484.25,124,1329.49
440,7.87,16,11,446.02,851,3773.86
245,3.04,11,5,304.26,978,1352.45
363,3.03,11,6,269.73,843,987.52
163,2.59,13,14,23.64,627,351.09
124,9.67,17,3,130.86,686,1542.9
462,8.03,10,2,235.21,368,3466.31
425,5.15,8,10,317.97,136,2653.79
469,4.72,17,2,283.05,602,2369.75
266,5.12,8,14,373.89,747,1873.39
326,8.31,11,5,147.09,915,2911.72
298,7.46,7,3,286.83,941,2516.98
213,3.89,11,12,53.19,896,707.25
443,3.81,11,5,212.7,827,1950.51
406,3.24,13,9,377.58,832,1617.91
