시도,시군구,기관유형,상위 보건기관명,보건기관명,주소,읍면동명,도서지역 여부,대표 전화번호
부산광역시,강서구,보건소,부산강서구보건소,부산강서구보건소,"부산광역시 강서구 공항로811번길 10 (대저2동, 강서브라이트센터) 보건소",대저2동,아니오,051-970-3415
부산광역시,강서구,일반보건지소,부산강서구보건소,강서구강동보건지소,"부산광역시 강서구 낙동북로102번길 76 (강동동, 강동보건지소), 강동보건지소 강동보건지소",강동동,아니오,051-970-4795
부산광역시,강서구,일반보건지소,부산강서구보건소,녹산보건지소,부산광역시 강서구 생곡로 17 (녹산동) 녹산보건지소,녹산,아니오,051-970-4796
부산광역시,강서구,일반보건지소,부산강서구보건소,가덕도보건지소,"부산광역시 강서구 성북1길 70-1 (성북동, 가덕도보건지소), 가덕도보건지소 가덕도보건지소",성북동,아니오,051-970-4797
부산광역시,강서구,일반보건지소,부산강서구보건소,가락보건지소,"부산광역시 강서구 가락대로 1476 (죽림동, 가락동 행정복지센터) 가락보건지소",죽림동,아니오,051-970-4798
부산광역시,강서구,보건진료소,부산강서구보건소,대항보건진료소,"부산광역시 강서구 가덕해안로1208번가길 9 (대항동, 대항보건진료소) 대항보건진료소",대항동,아니오,051-972-7335
부산광역시,강서구,보건진료소,부산강서구보건소,지사보건진료소,"부산광역시 강서구 과학산단2로20번길 5 (지사동, 지사문화회관) 지사보건진료소",지사동,아니오,051-970-2980
부산광역시,강서구,보건진료소,부산강서구보건소,천성보건진료소,"부산광역시 강서구 가덕해안로821번길 100 (천성동, 천성보건진료소) 천성보건진료소",천성동,아니오,051-971-7623
부산광역시,연제구,보건소,연제구보건소,연제구보건소,"부산광역시 연제구 연제로 2 (연산동, 연제구청), 연제구 보건소 연제구보건소",연산동,아니오,051-665-4781
부산광역시,수영구,보건소,수영구보건소,수영구보건소,"부산광역시 수영구 수영로 637-5 (광안동, 수영구 보건소), 본관 수영구보건소",광안동,아니오,051-610-5600
부산광역시,사상구,보건소,사상구보건소,사상구보건소,"부산광역시 사상구 학감대로 242 (감전동, 사상구청) 사상구보건소",감전동,아니오,051-310-4791
부산광역시,기장군,보건소,기장군보건소,기장군보건소,부산광역시 기장군 기장읍 기장대로 560 (기장군청) 기장군 보건소,기장읍,아니오,051-709-4796
부산광역시,기장군,일반보건지소,기장군보건소,장안보건지소,부산광역시 기장군 장안읍 좌방길 6 (장안보건지소) ,장안읍,아니오,051-727-4948
부산광역시,기장군,일반보건지소,기장군보건소,정관보건지소,부산광역시 기장군 정관읍 용수로 11 (정관보건지소) ,정관읍,아니오,051-709-2937
부산광역시,기장군,일반보건지소,기장군보건소,철마보건지소,부산광역시 기장군 철마면 개좌로 822 (철마복지회관) 1층 철마보건지소,철마면,아니오,051-709-5345
부산광역시,기장군,보건진료소,기장군보건소,오리보건진료소,부산광역시 기장군 장안읍 좌천4길 30 30 오리보건진료소,장안읍,아니오,051-709-5342
부산광역시,기장군,보건진료소,기장군보건소,삼동보건진료소,부산광역시 기장군 철마면 철마삼동로 94 삼동보건진료소,철마면,아니오,051-721-9042
